relative_path,duration_sec,n_frames,fps
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأَذَانُ.mp4,5.360,134,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأَمْنُ الوَطَنِيُّ.mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الأُرْدُنُ.mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 1).mp4,5.500,165,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 2).mp4,5.600,168,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 3).mp4,4.400,132,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِمَارَاتُ العَرَبِيَّةُ المُتَّحِدَةُ (إِشَارَة 4).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجَلِيزِيَّةُ.mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجِيلُ (إِشَارَة 1).mp4,4.640,116,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الإِنْجِيلُ (إِشَارَة 2).mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 1).mp4,5.833,175,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 2).mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآخِرَةُ (إِشَارَة 3).mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآنَ (إِشَارَة 1).mp4,3.480,87,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الآنَ (إِشَارَة 3).mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البَحْرَيْن.mp4,5.667,170,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 1).mp4,5.760,144,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 2).mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 3).mp4,2.840,71,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَدِيدَة (إِشَارَة 1).mp4,3.480,87,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَدِيدَة (إِشَارَة 2).mp4,5.233,157,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَزَائِر.mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَمْعُ.mp4,3.680,92,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَاجِبُ.mp4,2.440,61,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَدِيثُ النَّبَوِيُّ (إِشَارَة 1).mp4,4.880,122,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَدِيثُ النَّبَوِيُّ (إِشَارَة 2).mp4,5.500,165,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَمْدُ لِلَّهِ.mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحُسَيْمَة (إِشَارَة 1).mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخُمِيسَات.mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخِطَابُ المَلَكِيُّ (إِشَارَة 1).mp4,6.240,156,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخِطَابُ المَلَكِيُّ (إِشَارَة 2).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الدَّارُ البَيْضَاء.mp4,4.640,116,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الرِّبَاط.mp4,3.720,93,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّعُودِيَّة (إِشَارَة 1).mp4,3.200,80,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّعُودِيَّة (إِشَارَة 2).mp4,3.480,87,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّلَامُ عَلَيْكُمْ (إِشَارَة 1).mp4,3.200,80,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصَّحَابَةُ.mp4,4.440,111,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصَّرْفُ ( فِي اللُّغَةِ ).mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصِّين.mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العَرَائِش (إِشَارَة 1).mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العَرَبِيَّةُ.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العِرَاقُ (إِشَارَة 1).mp4,3.720,93,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العِرَاقُ (إِشَارَة 2).mp4,2.560,64,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الفَرَنْسِيَّةُ.mp4,4.200,105,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الأُولَى.mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الثَّانِيَّةُ (إِشَارَة 1).mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الثَّانِيَّةُ (إِشَارَة 2).mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الرِّيَاضِيَّة.mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القُدْسُ.mp4,3.720,93,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القُنَيْطِرَةُ (إِشَارَة 1).mp4,3.160,79,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 1).mp4,4.840,121,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 2).mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 3).mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الكُرَةُ الأَرْضِيَّةُ (إِشَارَة 1).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الكُرَةُ الأَرْضِيَّةُ (إِشَارَة 2).mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 1).mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 2).mp4,3.480,87,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 3).mp4,4.400,110,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللَّيْلَة.mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسِيرَةُ الخَضْرَاءُ (إِشَارَة 1).mp4,8.040,201,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسِيرَةُ الخَضْرَاءُ (إِشَارَة 2).mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسْجِدُ الحَرَامُ.mp4,5.040,126,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسْجِدُ النَّبَوِيُّ.mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَغْرِبُ.mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المُحَمَّدِيَّة.mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/النَّاظُور.mp4,5.680,142,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/النَّمْسَا.mp4,5.567,167,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِزَارَةُ المُكَلَّفَةُ بِإِدْمَاجِ المُعَاقِينَ.mp4,4.760,119,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ (إِشَارَة 1).mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ (إِشَارَة 2).mp4,5.000,150,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَابَان (إِشَارَة 1).mp4,6.360,159,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَابَان (إِشَارَة 2).mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَوْم.mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 1).mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 2).mp4,3.200,80,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 3).mp4,2.560,64,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 4).mp4,4.633,139,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 5).mp4,2.600,65,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبَدًا.mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 1).mp4,5.080,127,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 2).mp4,5.333,160,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 3).mp4,4.533,136,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْيَضُ (إِشَارَة 1).mp4,2.280,57,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْيَضُ (إِشَارَة 2).mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 1).mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 2).mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 3).mp4,5.400,162,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 1).mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 2).mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 3).mp4,4.367,131,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَازَ.mp4,3.176,94,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 1).mp4,2.480,62,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 2).mp4,4.967,149,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 3).mp4,3.080,77,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْدَادٌ (إِشَارَة 1).mp4,4.520,113,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْدَادٌ (إِشَارَة 2).mp4,5.667,170,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 1).mp4,2.800,70,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 2).mp4,5.067,152,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 3).mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 4).mp4,4.967,149,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 1).mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 2).mp4,5.160,129,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 3).mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 1).mp4,3.200,80,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 2).mp4,5.467,164,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 3).mp4,4.700,141,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 4).mp4,4.600,138,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 5).mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَسَّ (إِشَارَة 1).mp4,4.160,104,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَسَّ (إِشَارَة 2).mp4,5.867,176,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْضَرَ.mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ (إِشَارَة 1).mp4,2.760,69,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ (إِشَارَة 2).mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ الشِّفَاهِ.mp4,3.760,94,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 1).mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 2).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 3).mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْوَلُ (إِشَارَة 1).mp4,2.760,69,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْوَلُ (إِشَارَة 2).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْيَانًا (إِشَارَة 1).mp4,2.600,65,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْيَانًا (إِشَارَة 2).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخٌ (إِشَارَة 1).mp4,2.640,66,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخٌ (إِشَارَة 2).mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخَذَ (إِشَارَة 1).mp4,4.960,124,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخَذَ (إِشَارَة 2).mp4,2.800,70,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الأَسْنَانِ.mp4,7.160,179,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الأُذُنِ وَالأَنْفِ وَالـحَنْجَرَةِ.mp4,4.960,124,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الصَّدْرِ.mp4,4.560,114,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العَظْمِ (إِشَارَة 1).mp4,4.160,104,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العَظْمِ (إِشَارَة 2).mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العُيُونِ.mp4,3.520,88,25.000
